Distance_m,Easting_X,Northing_Y,H_LEM,V_LEM,Perfil
0,464894.0,5754524.0,4.3,4.0,1
2,464893.4133333333,5754522.2,4.4,4.2,1
4,464892.82666666666,5754520.4,4.5,4.2,1
6,464892.24,5754518.6,4.7,4.4,1
8,464891.6533333333,5754516.8,5.0,4.5,1
10,464891.06666666665,5754515.0,5.4,5.0,1
12,464890.48,5754513.2,6.0,5.2,1
14,464889.8933333333,5754511.4,6.2,5.6,1
16,464889.3066666666,5754509.6,7.0,6.1,1
18,464888.72,5754507.8,7.7,6.4,1
20,464888.13333333336,5754506.0,8.4,7.4,1
22,464887.5466666667,5754504.2,9.4,8.2,1
24,464886.96,5754502.4,9.0,9.2,1
26,464886.37333333335,5754500.6,5.5,9.4,1
28,464885.7866666667,5754498.8,2.0,8.7,1
30,464885.2,5754497.0,0.6,8.5,1
32,464884.6133333333,5754495.2,1.4,8.2,1
34,464884.0266666667,5754493.4,3.4,8.2,1
36,464883.44,5754491.6,7.4,8.0,1
38,464882.8533333333,5754489.8,8.8,7.5,1
40,464882.26666666666,5754488.0,8.8,6.8,1
42,464881.68,5754486.2,7.8,6.8,1
44,464881.0933333333,5754484.4,7.0,6.1,1
46,464880.50666666665,5754482.6,6.2,5.8,1
48,464879.92,5754480.8,5.4,5.4,1
50,464879.3333333333,5754479.0,5.2,5.0,1
52,464878.7466666666,5754477.2,5.2,5.0,1
54,464878.16,5754475.4,5.0,4.9,1
56,464877.5733333333,5754473.6,4.9,4.8,1
58,464876.9866666667,5754471.8,4.8,4.5,1
60,464876.4,5754470.0,4.8,4.5,1
62,464875.81333333335,5754468.2,4.4,4.7,1
64,464875.2266666667,5754466.4,4.7,4.4,1
66,464874.64,5754464.6,4.6,4.2,1
68,464874.0533333333,5754462.8,4.7,4.5,1
70,464873.4666666667,5754461.0,5.0,4.6,1
72,464872.88,5754459.2,5.2,4.8,1
74,464872.2933333333,5754457.4,5.2,4.1,1
76,464871.70666666667,5754455.6,5.0,5.3,1
78,464871.12,5754453.8,4.2,5.6,1
80,464870.5333333333,5754452.0,3.4,6.2,1
82,464869.94666666666,5754450.2,3.1,6.2,1
84,464869.36,5754448.4,2.9,6.7,1
86,464868.7733333333,5754446.6,3.4,7.2,1
88,464868.18666666665,5754444.8,4.0,7.2,1
90,464867.6,5754443.0,4.2,7.4,1
92,464867.0133333333,5754441.2,4.4,7.7,1
94,464866.4266666667,5754439.4,4.4,7.4,1
96,464865.84,5754437.6,4.5,7.5,1
98,464865.25333333336,5754435.8,4.2,7.0,1
100,464864.6666666667,5754434.0,4.2,7.0,1
102,464864.08,5754432.2,4.2,6.9,1
104,464863.49333333335,5754430.4,4.2,6.0,1
106,464862.9066666667,5754428.6,4.5,6.0,1
108,464862.32,5754426.8,4.7,5.6,1
110,464861.7333333333,5754425.0,5.2,5.1,1
112,464861.14666666667,5754423.2,5.0,5.3,1
114,464860.56,5754421.4,4.9,5.0,1
116,464859.9733333333,5754419.6,4.5,5.2,1
118,464859.38666666666,5754417.8,4.2,5.0,1
120,464858.8,5754416.0,4.2,4.9,1
122,464858.2133333333,5754414.2,4.0,4.9,1
124,464857.62666666665,5754412.4,3.9,4.9,1
126,464857.04,5754410.6,4.0,4.7,1
128,464856.4533333333,5754408.8,3.4,4.2,1
130,464855.8666666666,5754407.0,3.8,4.5,1
132,464855.28,5754405.2,3.9,4.1,1
134,464854.69333333336,5754403.4,3.6,4.1,1
136,464854.1066666667,5754401.6,3.2,3.3,1
138,464853.52,5754399.8,3.2,3.1,1
140,464852.93333333335,5754398.0,3.2,3.0,1
142,464852.3466666667,5754396.2,3.0,3.5,1
144,464851.76,5754394.4,2.9,3.0,1
146,464851.1733333333,5754392.6,2.6,2.9,1
148,464850.5866666666,5754390.8,2.4,3.2,1
150,464850.0,5754389.0,2.2,3.3,1
0,464867.0,5754514.0,5.0,4.7,2
2,464866.50666666665,5754512.24,5.0,5.2,2
4,464866.0133333333,5754510.48,5.0,5.4,2
6,464865.52,5754508.72,5.2,5.6,2
8,464865.0266666667,5754506.96,5.9,6.0,2
10,464864.5333333333,5754505.2,6.7,6.6,2
12,464864.04,5754503.44,6.8,7.2,2
14,464863.5466666667,5754501.68,6.2,7.4,2
16,464863.0533333333,5754499.92,6.0,7.6,2
18,464862.56,5754498.16,6.2,7.6,2
20,464862.06666666665,5754496.4,5.6,8.4,2
22,464861.5733333333,5754494.64,6.0,8.6,2
24,464861.08,5754492.88,6.0,9.2,2
26,464860.5866666666,5754491.12,6.0,9.4,2
28,464860.0933333333,5754489.36,5.4,9.4,2
30,464859.6,5754487.6,5.4,9.4,2
32,464859.1066666667,5754485.84,5.4,9.2,2
34,464858.6133333333,5754484.08,5.4,9.0,2
36,464858.12,5754482.32,5.6,8.6,2
38,464857.62666666665,5754480.56,5.2,8.2,2
40,464857.13333333336,5754478.8,5.4,8.2,2
42,464856.64,5754477.04,5.0,7.6,2
44,464856.14666666667,5754475.28,4.8,7.6,2
46,464855.6533333333,5754473.52,4.4,8.0,2
48,464855.16,5754471.76,4.2,7.8,2
50,464854.6666666667,5754470.0,4.2,7.8,2
52,464854.1733333333,5754468.24,4.0,7.0,2
54,464853.68,5754466.48,4.2,7.0,2
56,464853.18666666665,5754464.72,4.4,6.8,2
58,464852.69333333336,5754462.96,4.2,6.8,2
60,464852.2,5754461.2,4.8,6.8,2
62,464851.70666666667,5754459.44,5.0,6.4,2
64,464851.2133333333,5754457.68,5.2,6.4,2
66,464850.72,5754455.92,5.2,6.0,2
68,464850.2266666667,5754454.16,5.2,5.9,2
70,464849.7333333333,5754452.4,4.8,5.9,2
72,464849.24,5754450.64,4.8,6.0,2
74,464848.7466666666,5754448.88,4.4,6.0,2
76,464848.25333333336,5754447.12,4.6,6.2,2
78,464847.76,5754445.36,4.6,6.4,2
80,464847.26666666666,5754443.6,5.2,6.4,2
82,464846.7733333333,5754441.84,4.8,6.5,2
84,464846.28,5754440.08,5.0,7.0,2
86,464845.7866666667,5754438.32,4.8,7.4,2
88,464845.2933333333,5754436.56,5.4,7.8,2
90,464844.8,5754434.8,5.0,7.6,2
92,464844.3066666666,5754433.04,5.2,7.6,2
94,464843.81333333335,5754431.28,5.2,7.7,2
96,464843.32,5754429.52,5.4,7.9,2
98,464842.82666666666,5754427.76,5.4,7.8,2
100,464842.3333333333,5754426.0,5.4,8.0,2
102,464841.84,5754424.24,5.4,7.9,2
104,464841.3466666667,5754422.48,5.2,7.8,2
106,464840.8533333333,5754420.72,5.0,7.8,2
108,464840.36,5754418.96,5.2,7.7,2
110,464839.8666666666,5754417.2,4.8,7.6,2
112,464839.37333333335,5754415.44,4.6,7.5,2
114,464838.88,5754413.68,5.0,7.4,2
116,464838.38666666666,5754411.92,4.6,7.2,2
118,464837.8933333333,5754410.16,4.8,7.0,2
120,464837.4,5754408.4,4.8,6.9,2
122,464836.9066666667,5754406.64,5.2,7.4,2
124,464836.4133333333,5754404.88,4.8,6.0,2
126,464835.92,5754403.12,4.6,5.9,2
128,464835.4266666667,5754401.36,4.2,5.5,2
130,464834.93333333335,5754399.6,4.6,5.2,2
132,464834.44,5754397.84,4.0,4.7,2
134,464833.94666666666,5754396.08,3.8,4.6,2
