x,HL,VL
0,4.3,4.0
2,4.4,4.2
4,4.5,4.2
6,4.7,4.4
8,5.0,4.5
10,5.4,5.0
12,6.0,5.2
14,6.2,5.6
16,7.0,6.1
18,7.7,6.4
20,8.4,7.4
22,9.4,8.2
24,9.0,9.2
26,5.5,9.4
28,2.0,8.7
30,0.6,8.5
32,1.4,8.2
34,3.4,8.2
36,7.4,8.0
38,8.8,7.5
40,8.8,6.8
42,7.8,6.8
44,7.0,6.1
46,6.2,5.8
48,5.4,5.4
50,5.2,5.0
52,5.2,5.0
54,5.0,4.9
56,4.9,4.8
58,4.8,4.5
60,4.8,4.5
62,4.4,4.7
64,4.7,4.4
66,4.6,4.2
68,4.7,4.5
70,5.0,4.6
72,5.2,4.8
74,5.2,4.1
76,5.0,5.3
78,4.2,5.6
80,3.4,6.2
82,3.1,6.2
84,2.9,6.7
86,3.4,7.2
88,4.0,7.2
90,4.2,7.4
92,4.4,7.7
94,4.4,7.4
96,4.5,7.5
98,4.2,7.0
100,4.2,7.0
102,4.2,6.9
104,4.2,6.0
106,4.5,6.0
108,4.7,5.6
110,5.2,5.1
112,5.0,5.3
114,4.9,5.0
116,4.5,5.2
118,4.2,5.0
120,4.2,4.9
122,4.0,4.9
124,3.9,4.9
126,4.0,4.7
128,3.4,4.2
130,3.8,4.5
132,3.9,4.1
134,3.6,4.1
136,3.2,3.3
138,3.2,3.1
140,3.2,3.0
142,3.0,3.5
144,2.9,3.0
146,2.6,2.9
148,2.4,3.2
150,2.2,3.3
