x,HL,VL
0.0,23.53,20.66
9.795918367346939,23.24,22.51
19.591836734693878,26.77,20.94
29.387755102040817,31.54,19.56
39.183673469387756,32.85,20.78
48.9795918367347,28.97,20.83
58.775510204081634,34.35,19.52
68.57142857142857,33.34,19.0
78.36734693877551,34.27,16.62
88.16326530612245,35.74,15.97
97.9591836734694,35.26,14.39
107.75510204081633,37.53,13.68
117.55102040816327,35.4,11.79
127.34693877551021,33.02,9.2
137.14285714285714,32.21,10.84
146.9387755102041,30.25,8.77
156.73469387755102,30.56,5.77
166.53061224489795,24.96,7.81
176.3265306122449,23.65,4.72
186.12244897959184,18.88,5.22
195.9183673469388,13.04,5.4
205.71428571428572,17.06,3.78
215.51020408163265,15.2,4.69
225.3061224489796,9.88,0.67
235.10204081632654,14.02,2.81
244.89795918367346,4.98,1.01
254.69387755102042,6.7,0.7
264.48979591836735,5.31,1.27
274.2857142857143,8.21,1.94
284.0816326530612,7.94,2.91
293.8775510204082,5.57,1.63
303.6734693877551,6.66,5.42
313.46938775510205,5.15,5.57
323.265306122449,4.33,3.47
333.0612244897959,9.28,9.01
342.8571428571429,12.23,10.71
352.6530612244898,16.54,10.77
362.44897959183675,18.8,9.92
372.2448979591837,18.04,9.8
382.0408163265306,20.66,14.21
391.8367346938776,21.58,13.24
401.6326530612245,23.15,16.87
411.42857142857144,24.73,16.49
421.2244897959184,33.99,18.72
431.0204081632653,30.74,18.79
440.81632653061223,32.24,20.22
450.6122448979592,31.62,19.97
460.40816326530614,36.31,23.32
470.2040816326531,31.77,21.38
480.0,34.41,22.2
